id,x,y,z,vx,vy,vz,radius,mass
34,0.56175696098497,0.69082369454959,0.49733290958583,0,0,-0.73575000000001,0.012,0.01737175073729
35,0.60191136061105,0.5388849028909,0.53161952909219,0,0,-0.73575000000001,0.012,0.01737175073729
36,0.93222508708371,0.59649269456676,0.79616688312015,0,0,-0.73575000000001,0.012,0.01737175073729
37,0.87133661029054,0.62136954735857,0.5814235116756,0,0,-0.73575000000001,0.012,0.01737175073729
38,0.11496239594608,0.45757774128079,0.53989354345337,0,0,-0.73575000000001,0.012,0.01737175073729
39,0.418513706991,0.87408153557571,0.59687020951499,0,0,-0.73575000000001,0.012,0.01737175073729
40,0.13115784245451,0.35974669330814,0.91024629228294,0,0,-0.73575000000001,0.012,0.01737175073729
41,0.27760107376692,0.64414556050265,0.42265255010435,0,0,-0.73575000000001,0.012,0.01737175073729
42,0.35610720043592,0.30946650856176,0.5109574350708,0,0,-0.73575000000001,0.012,0.01737175073729
43,0.53327127629949,0.48519405711614,0.79490317274232,0,0,-0.73575000000001,0.012,0.01737175073729
44,0.27494643740472,0.25026650816051,0.51291317026845,0,0,-0.73575000000001,0.012,0.01737175073729
45,0.22551388164876,0.55670755420121,0.63963644853971,0,0,-0.73575000000001,0.012,0.01737175073729
46,0.075334832784464,0.25982144290313,0.55519190979637,0,0,-0.73575000000001,0.012,0.01737175073729
47,0.69159296809643,0.70717609414582,0.50204335521191,0,0,-0.73575000000001,0.012,0.01737175073729
48,0.98579471843084,0.27237827141676,0.94779143192464,0,0,-0.73575000000001,0.012,0.01737175073729
49,0.41317213087404,0.044257518295721,0.6080209192157,0,0,-0.73575000000001,0.012,0.01737175073729
50,0.63112691089289,0.67636852630829,0.7080153938861,0,0,-0.73575000000001,0.012,0.01737175073729
51,0.44903636724821,0.55162365453364,0.74124342503902,0,0,-0.73575000000001,0.012,0.01737175073729
52,0.090912846114487,0.37278275278754,0.55265463340824,0,0,-0.73575000000001,0.012,0.01737175073729
53,0.69826657366615,0.29608693909064,0.75339107394181,-1.3030535312181,-2.3354880892831,-3.3801418764769,0.012,0.01737175073729
54,0.47469081121049,0.64208960784074,0.94025409603985,0.21304609882913,-1.9970561258034,0.71545468683186,0.012,0.01737175073729
